scenario_id,varied_parameter,baseline_value,candidate_value,from_condition,to_condition,migration_count,changed_case_ids,critical_violation,critical_violation_codes,policy_fingerprint,result_fingerprint
SD-SENS-STRONG-COMPLETENESS-LOW,strongHistoryCompleteness,0.9,0.85,non_moving_candidate,dead_stock_candidate,1,SD-CAL-SYN-0028,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:752726b0,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:9716d3c4
SD-SENS-STRONG-COMPLETENESS-HIGH,strongHistoryCompleteness,0.9,0.95,dead_stock_candidate,non_moving_candidate,1,SD-CAL-SYN-0029,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:e1a66b9f,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:8739109d
SD-SENS-SLOW-LOW,slowMovingMonthsSinceLastConsumption,6,5,,,0,,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:3bddd1b7,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:5ef962bb
SD-SENS-SLOW-HIGH,slowMovingMonthsSinceLastConsumption,6,7,slow_moving_candidate,no_case,1,SD-CAL-SYN-0008,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:e3cbbff5,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:aab3f68e
SD-SENS-NONMOVING-LOW,nonMovingMonthsSinceLastConsumption,12,10,,,0,,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:9404d676,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:5e03a15e
SD-SENS-NONMOVING-HIGH,nonMovingMonthsSinceLastConsumption,12,15,non_moving_candidate,slow_moving_candidate,4,SD-CAL-SYN-0004|SD-CAL-SYN-0011|SD-CAL-SYN-0012|SD-CAL-SYN-0027,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:e7365297,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:4606320e
SD-SENS-DEAD-LOW,deadCandidateMonthsSinceLastConsumption,18,15,non_moving_candidate,dead_stock_candidate,1,SD-CAL-SYN-0013,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:77fbff63,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:33d16a46
SD-SENS-DEAD-HIGH,deadCandidateMonthsSinceLastConsumption,18,24,dead_stock_candidate,non_moving_candidate,6,SD-CAL-SYN-0005|SD-CAL-SYN-0014|SD-CAL-SYN-0015|SD-CAL-SYN-0019|SD-CAL-SYN-0026|SD-CAL-SYN-0029,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:c01613cb,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:ff2152d0
SD-SENS-ACTIVE-MONTHS-LOW,minimumActiveMonthsForRecurringDemand,2,1,,,0,,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:61836393,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:4bc7a24a
SD-SENS-ACTIVE-MONTHS-HIGH,minimumActiveMonthsForRecurringDemand,2,3,intermittent_expected,slow_moving_candidate,2,SD-CAL-SYN-0002|SD-CAL-SYN-0017,true,intermittent_demand_protection_broken,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:d9549191,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:ecbaf065
SD-SENS-INTERMITTENCY-LOW,intermittentDemandThreshold,0.75,0.65,,,0,,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:fa7be953,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:a998263c
SD-SENS-INTERMITTENCY-HIGH,intermittentDemandThreshold,0.75,0.85,intermittent_expected,slow_moving_candidate,2,SD-CAL-SYN-0002|SD-CAL-SYN-0017,true,intermittent_demand_protection_broken,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:930d7465,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:4dee031e
